Step,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MAX
1,3.8870248794555700,3.8870248794555700,3.8870248794555700,3.3256053924560500,3.3256053924560500,3.3256053924560500,2.823472499847410,2.823472499847410,2.823472499847410,3.054456949234010,3.054456949234010,3.054456949234010,3.0517680644989000,3.0517680644989000,3.0517680644989000,3.349747896194460,3.349747896194460,3.349747896194460,2.914332866668700,2.914332866668700,2.914332866668700,2.718000888824460,2.718000888824460,2.718000888824460
2,3.3468730449676500,3.3468730449676500,3.3468730449676500,3.108607530593870,3.108607530593870,3.108607530593870,2.624514579772950,2.624514579772950,2.624514579772950,2.73966383934021,2.73966383934021,2.73966383934021,2.703935146331790,2.703935146331790,2.703935146331790,2.8493869304657000,2.8493869304657000,2.8493869304657000,2.7491202354431200,2.7491202354431200,2.7491202354431200,2.426928758621220,2.426928758621220,2.426928758621220
3,3.042595386505130,3.042595386505130,3.042595386505130,2.936429738998410,2.936429738998410,2.936429738998410,2.4878127574920700,2.4878127574920700,2.4878127574920700,2.5278425216674800,2.5278425216674800,2.5278425216674800,2.5682241916656500,2.5682241916656500,2.5682241916656500,2.767652988433840,2.767652988433840,2.767652988433840,2.631423234939580,2.631423234939580,2.631423234939580,2.2992167472839400,2.2992167472839400,2.2992167472839400
4,3.006295919418340,3.006295919418340,3.006295919418340,2.9230990409851100,2.9230990409851100,2.9230990409851100,2.5234789848327600,2.5234789848327600,2.5234789848327600,2.5234901905059800,2.5234901905059800,2.5234901905059800,2.5145246982574500,2.5145246982574500,2.5145246982574500,2.6884777545929000,2.6884777545929000,2.6884777545929000,2.6287026405334500,2.6287026405334500,2.6287026405334500,2.068934679031370,2.068934679031370,2.068934679031370
5,2.995246648788450,2.995246648788450,2.995246648788450,2.9721527099609400,2.9721527099609400,2.9721527099609400,2.4797112941741900,2.4797112941741900,2.4797112941741900,2.528803825378420,2.528803825378420,2.528803825378420,2.516281843185430,2.516281843185430,2.516281843185430,2.713625907897950,2.713625907897950,2.713625907897950,2.6144204139709500,2.6144204139709500,2.6144204139709500,1.9878789186477700,1.9878789186477700,1.9878789186477700
6,3.0280230045318600,3.0280230045318600,3.0280230045318600,3.004917621612550,3.004917621612550,3.004917621612550,2.459796190261840,2.459796190261840,2.459796190261840,2.56622314453125,2.56622314453125,2.56622314453125,2.449110746383670,2.449110746383670,2.449110746383670,2.7264678478241000,2.7264678478241000,2.7264678478241000,2.6636857986450200,2.6636857986450200,2.6636857986450200,1.8866885900497400,1.8866885900497400,1.8866885900497400
7,3.0330982208252000,3.0330982208252000,3.0330982208252000,2.9690048694610600,2.9690048694610600,2.9690048694610600,2.428889751434330,2.428889751434330,2.428889751434330,2.5915110111236600,2.5915110111236600,2.5915110111236600,2.472681999206540,2.472681999206540,2.472681999206540,2.7476019859314000,2.7476019859314000,2.7476019859314000,2.661473512649540,2.661473512649540,2.661473512649540,1.8272572755813600,1.8272572755813600,1.8272572755813600
8,3.0080184936523400,3.0080184936523400,3.0080184936523400,2.9780044555664100,2.9780044555664100,2.9780044555664100,2.423203706741330,2.423203706741330,2.423203706741330,2.586078643798830,2.586078643798830,2.586078643798830,2.481083631515500,2.481083631515500,2.481083631515500,2.7384114265441900,2.7384114265441900,2.7384114265441900,2.7011916637420700,2.7011916637420700,2.7011916637420700,1.8142930269241300,1.8142930269241300,1.8142930269241300
9,2.9828226566314700,2.9828226566314700,2.9828226566314700,3.005667209625240,3.005667209625240,3.005667209625240,2.4064459800720200,2.4064459800720200,2.4064459800720200,2.61808180809021,2.61808180809021,2.61808180809021,2.5009963512420700,2.5009963512420700,2.5009963512420700,2.815986394882200,2.815986394882200,2.815986394882200,2.6658475399017300,2.6658475399017300,2.6658475399017300,1.7869688272476200,1.7869688272476200,1.7869688272476200
10,3.0135087966918900,3.0135087966918900,3.0135087966918900,2.9509825706481900,2.9509825706481900,2.9509825706481900,2.369199514389040,2.369199514389040,2.369199514389040,2.650672197341920,2.650672197341920,2.650672197341920,2.5000624656677200,2.5000624656677200,2.5000624656677200,2.8278186321258500,2.8278186321258500,2.8278186321258500,2.660062074661260,2.660062074661260,2.660062074661260,1.7181837558746300,1.7181837558746300,1.7181837558746300
11,3.020312547683720,3.020312547683720,3.020312547683720,2.9582839012146000,2.9582839012146000,2.9582839012146000,2.401036500930790,2.401036500930790,2.401036500930790,2.6775827407836900,2.6775827407836900,2.6775827407836900,2.540132999420170,2.540132999420170,2.540132999420170,2.8390679359436000,2.8390679359436000,2.8390679359436000,2.6563096046447800,2.6563096046447800,2.6563096046447800,1.6819183826446500,1.6819183826446500,1.6819183826446500
12,2.9903578758239700,2.9903578758239700,2.9903578758239700,2.980189085006710,2.980189085006710,2.980189085006710,2.4037959575653100,2.4037959575653100,2.4037959575653100,2.6822073459625200,2.6822073459625200,2.6822073459625200,2.5675230026245100,2.5675230026245100,2.5675230026245100,2.86891770362854,2.86891770362854,2.86891770362854,2.6508677005767800,2.6508677005767800,2.6508677005767800,1.639790415763860,1.639790415763860,1.639790415763860
13,2.986980438232420,2.986980438232420,2.986980438232420,2.9634735584259000,2.9634735584259000,2.9634735584259000,2.3991634845733600,2.3991634845733600,2.3991634845733600,2.7122817039489700,2.7122817039489700,2.7122817039489700,2.5864975452423100,2.5864975452423100,2.5864975452423100,2.89145827293396,2.89145827293396,2.89145827293396,2.655432939529420,2.655432939529420,2.655432939529420,1.5963876247406000,1.5963876247406000,1.5963876247406000
14,2.9692208766937300,2.9692208766937300,2.9692208766937300,2.951073408126830,2.951073408126830,2.951073408126830,2.424586772918700,2.424586772918700,2.424586772918700,2.720536231994630,2.720536231994630,2.720536231994630,2.6396372318267800,2.6396372318267800,2.6396372318267800,2.8747310638427700,2.8747310638427700,2.8747310638427700,2.6447947025299100,2.6447947025299100,2.6447947025299100,1.5805411338806200,1.5805411338806200,1.5805411338806200
