"Step","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MAX"
"1","0.3413636751148664","0.3413636751148664","0.3413636751148664","0.3413636751148664","0.3413636751148664","0.3413636751148664","0.3413636751148664","0.3413636751148664","0.3413636751148664"
"2","0.31798927729249765","0.31798927729249765","0.31798927729249765","0.22474515916651605","0.22474515916651605","0.22474515916651605","0.13076529289821873","0.13076529289821873","0.13076529289821873"
"3","0.27603431027608505","0.27603431027608505","0.27603431027608505","0.13197479656619412","0.13197479656619412","0.13197479656619412","0.059126711358852516","0.059126711358852516","0.059126711358852516"
"4","0.2385440632448249","0.2385440632448249","0.2385440632448249","0.06756181437157155","0.06756181437157155","0.06756181437157155","0.026990745454470742","0.026990745454470742","0.026990745454470742"
"5","0.20375802144073396","0.20375802144073396","0.20375802144073396","0.03757343218046156","0.03757343218046156","0.03757343218046156","0.02343185550423641","0.02343185550423641","0.02343185550423641"
"6","0.16502552394760167","0.16502552394760167","0.16502552394760167","0.02521649021848134","0.02521649021848134","0.02521649021848134","0.020741723261456322","0.020741723261456322","0.020741723261456322"
"7","0.13105542930904449","0.13105542930904449","0.13105542930904449","0.019772662910621904","0.019772662910621904","0.019772662910621904","0.020904345792400976","0.020904345792400976","0.020904345792400976"
"8","0.10485714545564623","0.10485714545564623","0.10485714545564623","0.01825321366251636","0.01825321366251636","0.01825321366251636","0.01772925841131697","0.01772925841131697","0.01772925841131697"
"9","0.08601272469116618","0.08601272469116618","0.08601272469116618","0.017340686000626666","0.017340686000626666","0.017340686000626666","0.01749575342122659","0.01749575342122659","0.01749575342122659"
"10","0.07124010103181885","0.07124010103181885","0.07124010103181885","0.017151008709751947","0.017151008709751947","0.017151008709751947","0.016616510895932125","0.016616510895932125","0.016616510895932125"
"11","0.059132205819945466","0.059132205819945466","0.059132205819945466","0.016881650963187778","0.016881650963187778","0.016881650963187778","0.016330445648979324","0.016330445648979324","0.016330445648979324"
"12","0.04973526515481022","0.04973526515481022","0.04973526515481022","0.016705361646780464","0.016705361646780464","0.016705361646780464","0.015696814319583124","0.015696814319583124","0.015696814319583124"
"13","0.04251612565189384","0.04251612565189384","0.04251612565189384","0.01629138299357244","0.01629138299357244","0.01629138299357244","0.015573541043742119","0.015573541043742119","0.015573541043742119"
"14","0.03666414339387421","0.03666414339387421","0.03666414339387421","0.01627588537168655","0.01627588537168655","0.01627588537168655","0.014755759597323802","0.014755759597323802","0.014755759597323802"
"15","0.032080566814624054","0.032080566814624054","0.032080566814624054","0.01619280081794111","0.01619280081794111","0.01619280081794111","0.014520228881187182","0.014520228881187182","0.014520228881187182"
"16","0.028551834339077427","0.028551834339077427","0.028551834339077427","0.015940347332044393","0.015940347332044393","0.015940347332044393","0.014086877898957295","0.014086877898957295","0.014086877898957295"
"17","0.025833332199043598","0.025833332199043598","0.025833332199043598","0.015688536007224897","0.015688536007224897","0.015688536007224897","0.013616854365303388","0.013616854365303388","0.013616854365303388"
"18","0.023464687919541198","0.023464687919541198","0.023464687919541198","0.015496109602777704","0.015496109602777704","0.015496109602777704","0.01323592428381808","0.01323592428381808","0.01323592428381808"
"19","0.021685057249949943","0.021685057249949943","0.021685057249949943","0.015357147780783367","0.015357147780783367","0.015357147780783367","0.012916142848773259","0.012916142848773259","0.012916142848773259"
"20","0.020489610096146638","0.020489610096146638","0.020489610096146638","0.015231060563825278","0.015231060563825278","0.015231060563825278","0.012556717723005961","0.012556717723005961","0.012556717723005961"
"21","0.019392450867017845","0.019392450867017845","0.019392450867017845","0.015074537199245643","0.015074537199245643","0.015074537199245643","0.012276622838472714","0.012276622838472714","0.012276622838472714"
"22","0.01858539981180445","0.01858539981180445","0.01858539981180445","0.01495002820671264","0.01495002820671264","0.01495002820671264","0.011989391443086158","0.011989391443086158","0.011989391443086158"
"23","0.0178749613148535","0.0178749613148535","0.0178749613148535","0.014704347657405482","0.014704347657405482","0.014704347657405482","0.011842162178579817","0.011842162178579817","0.011842162178579817"
"24","0.017265299995900877","0.017265299995900877","0.017265299995900877","0.014544984424851784","0.014544984424851784","0.014544984424851784","0.011570950987639293","0.011570950987639293","0.011570950987639293"
"25","0.016896506711878506","0.016896506711878506","0.016896506711878506","0.014410674046255227","0.014410674046255227","0.014410674046255227","0.011460597894807488","0.011460597894807488","0.011460597894807488"
"26","0.016451598802093854","0.016451598802093854","0.016451598802093854","0.014141890396527211","0.014141890396527211","0.014141890396527211","0.01114844906245661","0.01114844906245661","0.01114844906245661"
"27","0.01614634930046779","0.01614634930046779","0.01614634930046779","0.013955788532597508","0.013955788532597508","0.013955788532597508","0.011017756702032928","0.011017756702032928","0.011017756702032928"
"28","0.016049815519000813","0.016049815519000813","0.016049815519000813","0.013785362660420719","0.013785362660420719","0.013785362660420719","0.010775953780637658","0.010775953780637658","0.010775953780637658"
"29","0.01589421002362694","0.01589421002362694","0.01589421002362694","0.013600889119552576","0.013600889119552576","0.013600889119552576","0.01064844473707642","0.01064844473707642","0.01064844473707642"
"30","0.015823560443767325","0.015823560443767325","0.015823560443767325","0.01347732944495363","0.01347732944495363","0.01347732944495363","0.010425105065329884","0.010425105065329884","0.010425105065329884"
"31","0.015709268542149584","0.015709268542149584","0.015709268542149584","0.013385714145945235","0.013385714145945235","0.013385714145945235","0.01039224887683947","0.01039224887683947","0.01039224887683947"
"32","0.015626459190523037","0.015626459190523037","0.015626459190523037","0.013268150437554558","0.013268150437554558","0.013268150437554558","0.010170738079494587","0.010170738079494587","0.010170738079494587"
"33","0.015523655983713617","0.015523655983713617","0.015523655983713617","0.013138009759494527","0.013138009759494527","0.013138009759494527","0.010103279123705651","0.010103279123705651","0.010103279123705651"
"34","0.01543391478389335","0.01543391478389335","0.01543391478389335","0.012971624928958755","0.012971624928958755","0.012971624928958755","0.009904438194946448","0.009904438194946448","0.009904438194946448"
"35","0.015307765726103803","0.015307765726103803","0.015307765726103803","0.012805539824155731","0.012805539824155731","0.012805539824155731","0.009858963446470807","0.009858963446470807","0.009858963446470807"
"36","0.015260288600700792","0.015260288600700792","0.015260288600700792","0.01267625958952159","0.01267625958952159","0.01267625958952159","0.009689628948640495","0.009689628948640495","0.009689628948640495"
"37","0.015192197096235644","0.015192197096235644","0.015192197096235644","0.012529006744780163","0.012529006744780163","0.012529006744780163","0.009568897732915032","0.009568897732915032","0.009568897732915032"
"38","0.015129130462576317","0.015129130462576317","0.015129130462576317","0.012405733322709948","0.012405733322709948","0.012405733322709948","0.009370666913767714","0.009370666913767714","0.009370666913767714"
"39","0.015107251804535003","0.015107251804535003","0.015107251804535003","0.01226319130806567","0.01226319130806567","0.01226319130806567","0.009296563516522582","0.009296563516522582","0.009296563516522582"
"40","0.014991966089337573","0.014991966089337573","0.014991966089337573","0.01207893650807801","0.01207893650807801","0.01207893650807801","0.009148750717912836","0.009148750717912836","0.009148750717912836"
"41","0.015065008709347634","0.015065008709347634","0.015065008709347634","0.012023198768101824","0.012023198768101824","0.012023198768101824","0.009065186474758982","0.009065186474758982","0.009065186474758982"
